40	7.61   1.34
45	8.95   1.34
50	10.63  1.38
55	9.29   1.51
60	11.09  1.55
65	9.29   1.38
70	10.59  1.38
75	9.25   1.34
80	6.86   1.21
85	9.71   1.26
90	5.69   1.17
95	7.57   1.21
100	3.22   1.13
105	3.89   1.13
112.5	2.76   1.09
